NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV,POPEST2020_CIV
USA,M,65,1273339,1272603,1272721,1705641,1610889,1603679,1633170,1647842,1683999,1731714,1782235,1846576
USA,M,66,1248309,1239739,1252680,1252964,1678870,1585934,1578360,1607455,1621086,1655483,1702259,1750568
USA,M,67,1248938,1270086,1218434,1231556,1231563,1650963,1559017,1551846,1580106,1592202,1625658,1670185
USA,M,68,1087339,1105655,1246229,1195778,1208858,1209042,1621193,1530823,1523407,1550597,1562284,1593647
USA,M,69,994797,1006737,1083154,1221309,1171633,1185055,1185028,1589614,1500591,1492913,1519365,1529375
USA,M,70,945642,954009,984611,1060085,1194694,1146491,1159527,1159751,1556208,1468361,1460690,1485086
USA,M,71,900187,903186,931307,961966,1035117,1167497,1119456,1133265,1133054,1520975,1435502,1426391
USA,M,72,853749,862491,879745,907957,937249,1009358,1137665,1091765,1105202,1104604,1483874,1398098
USA,M,73,787903,794611,837965,855530,882467,911804,981096,1107054,1062158,1075313,1074873,1442000
USA,M,74,756661,758808,769818,812726,829222,856285,883982,952290,1074474,1030767,1044220,1041614
USA,M,75,721040,725649,732887,744416,785343,802253,827728,855611,921531,1039842,998201,1009458
USA,M,76,647847,653554,698436,706342,716911,757425,772985,798658,825299,888814,1003758,961529
USA,M,77,631915,630865,626543,670655,677706,688949,727164,743208,767691,793206,854801,963155
USA,M,78,602490,602785,602295,598992,640693,648535,658564,696305,711470,734934,759927,816776
USA,M,79,579284,573881,572628,573211,569391,610259,617005,627710,663515,677988,701020,722766
USA,M,80,543595,549205,542156,541946,542002,539379,577486,585062,595050,629062,643443,663256
USA,M,81,494914,496003,515544,509877,509116,510488,507194,544320,551309,560752,593477,604941
USA,M,82,463020,462694,462132,481525,475515,476120,476778,474690,509366,515989,525519,554034
USA,M,83,419882,422872,427528,428149,445458,441164,440980,442957,440649,473036,480017,486767
USA,M,84,373169,375569,387116,392513,392411,409786,405022,406107,407912,405657,436287,440593
USA,M,85,1790030,1810377,1883056,1962734,2029069,2099470,2169767,2234625,2287279,2332518,2374207,2414693
USA,M,999,150745782,151030625,152182117,153347238,154463125,155662842,156900205,158078603,159120358,159972821,160704646,161268513
USA,F,0,1929882,1932979,1934746,1918905,1921621,1930369,1946416,1937196,1896804,1871130,1841226,1826869
USA,F,1,1947229,1937584,1941203,1942663,1927304,1930724,1939791,1956316,1946614,1904650,1878996,1847230
USA,F,2,2004737,2002157,1944673,1948161,1950116,1935600,1939544,1949179,1965193,1954093,1911720,1884480
USA,F,3,2014496,2010632,2008226,1950689,1954798,1957614,1943688,1948151,1957426,1972152,1960386,1916691
